VIDEO_URL,enbang_tag,Cat_tag,mw1,mw2,mw3,final_tagging
https://www.youtube.com/embed/s7ijm8YOdSU?autoplay=0,live_stream_stat,spread_word,live_stream_stat,not_recognized,comment_news,comment_news
https://www.youtube.com/embed/0hVZOJCYBBM?autoplay=0,comment_news,spread_word,spread_word,not_recognized,live_stream_stat,comment_news
https://www.youtube.com/embed/lHsymdFIu0U?autoplay=0,live_stream_stat,live_stream_stat,live_stream_stat,comment_news,spread_word,live_stream_stat
https://www.youtube.com/embed/m_IcLoPpwQs?autoplay=0,donating,knowledge,donating,spread_word,knowledge,spread_word
https://www.youtube.com/embed/l9q22egaqGY?autoplay=0,theme_creation_performance,theme_creation_performance,theme_creation_performance,spread_word,not_recognized,theme_creation_performance
https://www.youtube.com/embed/Zf1bUJZNWY0?autoplay=0,comment_video,comment_video,spread_word,donating,comment_news,comment_video
https://www.youtube.com/embed/gfwX5niNBdY?autoplay=0,theme_creation_object,theme_creation_object,knowledge,theme_creation_object,spread_word,theme_creation_object
https://www.youtube.com/embed/D5U2zMXfabc?autoplay=0,theme_creation_performance,theme_creation_performance,live_stream_game,spread_word,theme_creation_performance,theme_creation_performance
https://www.youtube.com/embed/PeyYmhPcOiY?autoplay=0,comment_video,donating,donating,spread_word,comment_news,comment_news
https://www.youtube.com/embed/1p-0iUf-A9Q?autoplay=0,spread_word,spread_word,theme_creation_performance,comment_news,knowledge,spread_word
https://www.youtube.com/embed/2HkecNkioOA?autoplay=0,theme_creation_performance,spread_word,theme_creation_performance,comment_news,spread_word,spread_word
https://www.youtube.com/embed/LTg_J93Queo?autoplay=0,spread_word,theme_creation_object,spread_word,planting_trees,theme_creation_performance,spread_word
https://www.youtube.com/embed/fCCK9nHUuCE?autoplay=0,spread_word,spread_word,not_recognized,spread_word,donating,spread_word
https://www.youtube.com/embed/3KMP6YRY60U?autoplay=0,live_stream_game,theme_creation_object,theme_creation_performance,live_stream_game,not_recognized,not_recognized
https://www.youtube.com/embed/8nrj_06W06c?autoplay=0,live_stream_game,theme_creation_object,theme_creation_performance,spread_word,live_stream_game,spread_word
https://www.youtube.com/embed/Q46iP7Ox7Vs?autoplay=0,comment_video,comment_video,comment_news,comment_video,theme_creation_performance,comment_video
https://www.youtube.com/embed/gfqDmQGvSVk?autoplay=0,spread_word,spread_word,comment_news,knowledge,spread_word,spread_word
https://www.youtube.com/embed/W_qq8nUqwYg?autoplay=0,not_recognized,spread_word,live_stream_game,knowledge,spread_word,spread_word
https://www.youtube.com/embed/W5u2HCxsxjM?autoplay=0,not_recognized,theme_creation_performance,comment_news,not_recognized,spread_word,spread_word
https://www.youtube.com/embed/AYo5-OkjSk0?autoplay=0,theme_creation_object,theme_creation_performance,spread_word,not_recognized,planting_trees,theme_creation_object
https://www.youtube.com/embed/VqgpU84RC2I?autoplay=0,live_stream_game,donating,live_stream_game,theme_creation_performance,spread_word,donating
https://www.youtube.com/embed/F5-Mv4ZO3fk?autoplay=0,spread_word,spread_word,not_recognized,theme_creation_object,spread_word,spread_word
https://www.youtube.com/embed/SNdtMjkRVrU?autoplay=0,theme_creation_performance,theme_creation_object,knowledge,live_stream_game,theme_creation_object,theme_creation_object
https://www.youtube.com/embed/WLMOmHHnddw?autoplay=0,comment_video,spread_word,planting_trees,spread_word,theme_creation_object,spread_word
https://www.youtube.com/embed/tNJCYwual9Q?autoplay=0,live_stream_game,theme_creation_object,theme_creation_performance,live_stream_game,theme_creation_object,live_stream_game
https://www.youtube.com/embed/0ksapLvMrgE?autoplay=0,comment_news,comment_news,donating,not_recognized,comment_news,comment_news
https://www.youtube.com/embed/9iHYHTFZ9To?autoplay=0,live_stream_game,live_stream_game,spread_word,live_stream_stat,comment_news,live_stream_game
https://www.youtube.com/embed/_jwXnEYzDkw?autoplay=0,comment_video,spread_word,planting_trees,spread_word,comment_video,comment_video
https://www.youtube.com/embed/LgttB-zIa4Y?autoplay=0,spread_word,spread_word,spread_word,donating,comment_news,spread_word
https://www.youtube.com/embed/yfdl6Ijzpr8?autoplay=0,knowledge,knowledge,knowledge,donating,spread_word,knowledge
https://www.youtube.com/embed/WfezB3DEAmI?autoplay=0,knowledge,not_recognized,not_recognized,theme_creation_performance,knowledge,knowledge
https://www.youtube.com/embed/ZOD_zGZrgNY?autoplay=0,not_recognized,live_stream_game,live_stream_game,not_recognized,theme_creation_performance,not_recognized
https://www.youtube.com/embed/GgBSwCLJC-U?autoplay=0,not_recognized,theme_creation_performance,theme_creation_performance,not_recognized,live_stream_game,theme_creation_performance
https://www.youtube.com/embed/Bmc840V7aQg?autoplay=0,live_stream_game,theme_creation_performance,theme_creation_object,live_stream_game,theme_creation_performance,live_stream_game
https://www.youtube.com/embed/GPEt2b5L_qI?autoplay=0,live_stream_stat,spread_word,live_stream_stat,comment_news,spread_word,live_stream_stat
https://www.youtube.com/embed/vdA5bRDT8Ls?autoplay=0,comment_news,comment_news,comment_news,donating,live_stream_stat,comment_news
https://www.youtube.com/embed/BnQXER2G8ok?autoplay=0,not_recognized,planting_trees,donating,planting_trees,spread_word,planting_trees
https://www.youtube.com/embed/yokGFB-d6Vg?autoplay=0,spread_word,spread_word,planting_trees,comment_news,theme_creation_performance,spread_word
https://www.youtube.com/embed/LlW7Es7gStA?autoplay=0,not_recognized,comment_news,comment_news,spread_word,not_recognized,comment_news
https://www.youtube.com/embed/jdW33V9Fokw?autoplay=0,not_recognized,comment_news,donating,spread_word,theme_creation_performance,comment_news
https://www.youtube.com/embed/0Eg84esa2IU?autoplay=0,not_recognized,spread_word,comment_video,not_recognized,spread_word,spread_word
https://www.youtube.com/embed/95Gh_RCfWrM?autoplay=0,spread_word,spread_word,not_recognized,knowledge,spread_word,spread_word
https://www.youtube.com/embed/g5bEYs9QzC8?autoplay=0,theme_creation_performance,theme_creation_performance,spread_word,donating,theme_creation_performance,theme_creation_performance
https://www.youtube.com/embed/tHvnKa_mCic?autoplay=0,live_stream_game,theme_creation_performance,theme_creation_object,donating,live_stream_game,live_stream_game
https://www.youtube.com/embed/OrKZ5hAPPZM?autoplay=0,spread_word,theme_creation_performance,knowledge,spread_word,theme_creation_performance,spread_word
https://www.youtube.com/embed/iW4lHAYAO28?autoplay=0,theme_creation_performance,spread_word,spread_word,not_recognized,knowledge,spread_word
https://www.youtube.com/embed/yVT41UoJBXM?autoplay=0,comment_news,spread_word,live_stream_stat,not_recognized,spread_word,comment_news
https://www.youtube.com/embed/Tajqfm1h26Q?autoplay=0,live_stream_game,theme_creation_performance,theme_creation_performance,live_stream_game,spread_word,live_stream_game
https://www.youtube.com/embed/FLKFTh99IWE?autoplay=0,comment_video,not_recognized,comment_video,comment_news,spread_word,comment_video
https://www.youtube.com/embed/O9N7UcdFVa8?autoplay=0,theme_creation_performance,theme_creation_performance,donating,theme_creation_performance,theme_creation_object,theme_creation_performance
https://www.youtube.com/embed/3fGlvusJsrI?autoplay=0,theme_creation_performance,theme_creation_object,not_recognized,spread_word,theme_creation_object,theme_creation_object
https://www.youtube.com/embed/YAxs1qLXWBE?autoplay=0,spread_word,spread_word,theme_creation_performance,donating,spread_word,spread_word
