TASK_ID,SAME_TASK_GROUP_ID,STATUS,USER_ID,IP_ADDRESS,COUNTRY,START_TIME,FINISH_TIME,TIME_TOOK_TO_COMPLETE_TASK,VIDEO_URL,speak_language,category,mrbeast,arborday,teamtrees_org,noteble_youtuber,noteble_entrepreneur,quality,awareness
9074263,G5e1bf63f870ca,OK,ce721d79,86.1.121.128,United Kingdom,"Monday, 13-Jan-20 16:51:38 EST","Monday, 13-Jan-20 16:53:35 EST",1 minute(s) and 57 second(s),https://www.youtube.com/embed/5sp87LcBZLo?autoplay=0,speak_yes,knowledge,0,1,1,0,0,very_high,very_high
9075656,G5e1bf63f870ca,OK,e46e2603,2605:e000:a792:ce00:89d4:2236:a434:97fa,United States,"Monday, 13-Jan-20 21:25:16 EST","Monday, 13-Jan-20 21:27:38 EST",2 minute(s) and 22 second(s),https://www.youtube.com/embed/5sp87LcBZLo?autoplay=0,speak_yes,knowledge,0,1,1,0,0,very_high,very_high
9079185,G5e1bf63f870ca,OK,45f3ac2d,79.71.134.103,United Kingdom,"Tuesday, 14-Jan-20 07:54:10 EST","Tuesday, 14-Jan-20 07:59:59 EST",5 minute(s) and 49 second(s),https://www.youtube.com/embed/5sp87LcBZLo?autoplay=0,speak_yes,theme_creation_performance,0,1,1,0,0,high,high
9067379,G5e1bf63f86495,OK,5481493a,2a02:c7f:710a:7700:84c3:2cd6:a6f:1dc9,United Kingdom,"Monday, 13-Jan-20 10:59:32 EST","Monday, 13-Jan-20 11:05:05 EST",5 minute(s) and 33 second(s),https://www.youtube.com/embed/6l8K1eH624I?autoplay=0,speak_yes,planting_trees,1,0,0,0,0,low,neutral
9070319,G5e1bf63f86495,OK,e46e2603,172.116.205.209,United States,"Monday, 13-Jan-20 13:47:50 EST","Monday, 13-Jan-20 13:54:36 EST",6 minute(s) and 46 second(s),https://www.youtube.com/embed/6l8K1eH624I?autoplay=0,speak_yes,planting_trees,1,1,1,0,0,very_high,very_high
9070835,G5e1bf63f86495,OK,ce721d79,86.1.121.128,United Kingdom,"Monday, 13-Jan-20 14:31:07 EST","Monday, 13-Jan-20 14:34:05 EST",2 minute(s) and 58 second(s),https://www.youtube.com/embed/6l8K1eH624I?autoplay=0,speak_yes,planting_trees,0,1,1,0,0,very_high,very_high
9074370,G5e1bf63f8718a,OK,ce721d79,86.1.121.128,United Kingdom,"Monday, 13-Jan-20 16:53:44 EST","Monday, 13-Jan-20 16:57:00 EST",3 minute(s) and 16 second(s),https://www.youtube.com/embed/7LXrfEu1HmM?autoplay=0,speak_yes,planting_trees,0,0,0,0,0,neutral,high
9075660,G5e1bf63f8718a,OK,e46e2603,2605:e000:a792:ce00:89d4:2236:a434:97fa,United States,"Monday, 13-Jan-20 21:27:50 EST","Monday, 13-Jan-20 21:31:35 EST",3 minute(s) and 45 second(s),https://www.youtube.com/embed/7LXrfEu1HmM?autoplay=0,speak_yes,planting_trees,0,0,1,0,0,high,high
9079333,G5e1bf63f8718a,OK,45f3ac2d,79.71.134.103,United Kingdom,"Tuesday, 14-Jan-20 08:00:20 EST","Tuesday, 14-Jan-20 08:15:01 EST",14 minute(s) and 41 second(s),https://www.youtube.com/embed/7LXrfEu1HmM?autoplay=0,speak_yes,planting_trees,0,0,0,0,0,very_high,very_high
9070897,G5e1bf63f8675b,OK,ce721d79,86.1.121.128,United Kingdom,"Monday, 13-Jan-20 14:34:29 EST","Monday, 13-Jan-20 14:37:01 EST",2 minute(s) and 32 second(s),https://www.youtube.com/embed/es2lMH147AI?autoplay=0,speak_yes,donating,1,0,1,0,0,very_high,high
9071539,G5e1bf63f8675b,OK,45f3ac2d,92.20.102.87,United Kingdom,"Monday, 13-Jan-20 14:46:26 EST","Monday, 13-Jan-20 15:01:24 EST",14 minute(s) and 58 second(s),https://www.youtube.com/embed/es2lMH147AI?autoplay=0,speak_yes,donating,1,0,1,0,0,very_high,very_high
9084365,G5e1bf63f8675b,OK,608b0991,200.8.241.116,United States,"Tuesday, 14-Jan-20 12:30:55 EST","Tuesday, 14-Jan-20 12:34:52 EST",3 minute(s) and 57 second(s),https://www.youtube.com/embed/es2lMH147AI?autoplay=0,speak_no,donating,1,1,1,0,0,high,high
9072964,G5e1bf63f86b96,OK,45f3ac2d,92.20.102.87,United Kingdom,"Monday, 13-Jan-20 15:54:12 EST","Monday, 13-Jan-20 16:02:33 EST",8 minute(s) and 21 second(s),https://www.youtube.com/embed/FFjoU0YJn3Y?autoplay=0,speak_yes,comment_video,1,1,1,0,0,high,very_high
9073740,G5e1bf63f86b96,OK,ce721d79,86.1.121.128,United Kingdom,"Monday, 13-Jan-20 16:23:34 EST","Monday, 13-Jan-20 16:27:09 EST",3 minute(s) and 35 second(s),https://www.youtube.com/embed/FFjoU0YJn3Y?autoplay=0,speak_yes,comment_video,1,0,1,0,0,neutral,high
9075583,G5e1bf63f86b96,OK,e46e2603,2605:e000:a792:ce00:89d4:2236:a434:97fa,United States,"Monday, 13-Jan-20 21:00:33 EST","Monday, 13-Jan-20 21:05:49 EST",5 minute(s) and 16 second(s),https://www.youtube.com/embed/FFjoU0YJn3Y?autoplay=0,speak_yes,comment_video,1,1,1,0,0,high,high
9070927,G5e1bf63f86964,OK,ce721d79,86.1.121.128,United Kingdom,"Monday, 13-Jan-20 14:39:51 EST","Monday, 13-Jan-20 14:42:11 EST",2 minute(s) and 20 second(s),https://www.youtube.com/embed/HhlX9XjZ2dM?autoplay=0,speak_yes,donating,0,0,1,0,0,neutral,neutral
9072293,G5e1bf63f86964,OK,45f3ac2d,92.20.102.87,United Kingdom,"Monday, 13-Jan-20 15:19:11 EST","Monday, 13-Jan-20 15:34:07 EST",14 minute(s) and 56 second(s),https://www.youtube.com/embed/HhlX9XjZ2dM?autoplay=0,speak_yes,donating,1,0,1,0,0,very_high,high
9075544,G5e1bf63f86964,OK,e46e2603,2605:e000:a792:ce00:89d4:2236:a434:97fa,United States,"Monday, 13-Jan-20 20:26:20 EST","Monday, 13-Jan-20 20:32:54 EST",6 minute(s) and 34 second(s),https://www.youtube.com/embed/HhlX9XjZ2dM?autoplay=0,speak_yes,donating,0,0,1,1,0,very_high,very_high
9073760,G5e1bf63f86ea0,OK,45f3ac2d,92.20.102.87,United Kingdom,"Monday, 13-Jan-20 16:22:27 EST","Monday, 13-Jan-20 16:33:53 EST",11 minute(s) and 26 second(s),https://www.youtube.com/embed/iAPd3rptRw0?autoplay=0,speak_yes,planting_trees,1,0,1,0,0,high,very_high
9073749,G5e1bf63f86ea0,OK,ce721d79,86.1.121.128,United Kingdom,"Monday, 13-Jan-20 16:29:17 EST","Monday, 13-Jan-20 16:30:39 EST",1 minute(s) and 22 second(s),https://www.youtube.com/embed/iAPd3rptRw0?autoplay=0,speak_yes,planting_trees,1,0,1,0,0,very_high,very_high
9075630,G5e1bf63f86ea0,OK,e46e2603,2605:e000:a792:ce00:89d4:2236:a434:97fa,United States,"Monday, 13-Jan-20 21:10:29 EST","Monday, 13-Jan-20 21:16:41 EST",6 minute(s) and 12 second(s),https://www.youtube.com/embed/iAPd3rptRw0?autoplay=0,speak_yes,planting_trees,1,1,1,0,0,very_high,very_high
9075648,G5e1bf63f86f58,OK,e46e2603,2605:e000:a792:ce00:89d4:2236:a434:97fa,United States,"Monday, 13-Jan-20 21:16:54 EST","Monday, 13-Jan-20 21:22:37 EST",5 minute(s) and 43 second(s),https://www.youtube.com/embed/JiqTNObyFRQ?autoplay=0,speak_yes,donating,1,1,1,0,0,high,high
9073756,G5e1bf63f86f58,OK,ce721d79,86.1.121.128,United Kingdom,"Monday, 13-Jan-20 16:30:48 EST","Monday, 13-Jan-20 16:33:13 EST",2 minute(s) and 25 second(s),https://www.youtube.com/embed/JiqTNObyFRQ?autoplay=0,speak_yes,donating,1,1,0,0,0,very_high,very_high
9074038,G5e1bf63f86f58,OK,45f3ac2d,92.20.102.87,United Kingdom,"Monday, 13-Jan-20 16:37:17 EST","Monday, 13-Jan-20 16:46:11 EST",8 minute(s) and 54 second(s),https://www.youtube.com/embed/JiqTNObyFRQ?autoplay=0,speak_yes,donating,1,1,1,0,0,neutral,neutral
9074593,G5e1bf63f87426,OK,ce721d79,86.1.121.128,United Kingdom,"Monday, 13-Jan-20 17:05:57 EST","Monday, 13-Jan-20 17:08:37 EST",2 minute(s) and 40 second(s),https://www.youtube.com/embed/LdLSs7LMd-0?autoplay=0,speak_yes,spread_word,1,1,1,1,1,high,very_high
9080001,G5e1bf63f87426,OK,45f3ac2d,79.71.134.103,United Kingdom,"Tuesday, 14-Jan-20 08:52:14 EST","Tuesday, 14-Jan-20 08:56:45 EST",4 minute(s) and 31 second(s),https://www.youtube.com/embed/LdLSs7LMd-0?autoplay=0,speak_yes,live_stream_stat,1,1,1,0,1,neutral,neutral
9084370,G5e1bf63f87426,OK,e46e2603,2600:1012:b165:6efb:74b0:462b:97b0:6737,United States,"Tuesday, 14-Jan-20 12:30:28 EST","Tuesday, 14-Jan-20 12:35:42 EST",5 minute(s) and 14 second(s),https://www.youtube.com/embed/LdLSs7LMd-0?autoplay=0,speak_yes,live_stream_stat,1,1,1,1,1,very_high,very_high
9074495,G5e1bf63f8735a,OK,ce721d79,86.1.121.128,United Kingdom,"Monday, 13-Jan-20 17:00:35 EST","Monday, 13-Jan-20 17:02:40 EST",2 minute(s) and 5 second(s),https://www.youtube.com/embed/NywhZbyiXPo?autoplay=0,speak_yes,live_stream_game,1,0,1,0,0,neutral,neutral
9079602,G5e1bf63f8735a,OK,45f3ac2d,79.71.134.103,United Kingdom,"Tuesday, 14-Jan-20 08:22:32 EST","Tuesday, 14-Jan-20 08:36:56 EST",14 minute(s) and 24 second(s),https://www.youtube.com/embed/NywhZbyiXPo?autoplay=0,speak_yes,live_stream_game,1,0,1,0,0,neutral,very_low
9084209,G5e1bf63f8735a,OK,e46e2603,2600:1012:b165:6efb:74b0:462b:97b0:6737,United States,"Tuesday, 14-Jan-20 12:23:56 EST","Tuesday, 14-Jan-20 12:30:14 EST",6 minute(s) and 18 second(s),https://www.youtube.com/embed/NywhZbyiXPo?autoplay=0,speak_yes,live_stream_game,1,0,1,1,0,high,neutral
9067305,G5e1bf63f8635c,OK,5481493a,2a02:c7f:710a:7700:84c3:2cd6:a6f:1dc9,United Kingdom,"Monday, 13-Jan-20 10:53:01 EST","Monday, 13-Jan-20 10:56:36 EST",3 minute(s) and 35 second(s),https://www.youtube.com/embed/Qq9CQKNplpw?autoplay=0,speak_yes,theme_creation_performance,0,1,1,0,0,very_high,high
9068600,G5e1bf63f8635c,OK,41aa4a17,72.137.168.154,Canada,"Monday, 13-Jan-20 12:04:26 EST","Monday, 13-Jan-20 12:05:49 EST",1 minute(s) and 23 second(s),https://www.youtube.com/embed/Qq9CQKNplpw?autoplay=0,speak_yes,theme_creation_performance,1,1,1,1,1,very_high,neutral
9070050,G5e1bf63f8635c,OK,e46e2603,172.116.205.209,United States,"Monday, 13-Jan-20 13:41:42 EST","Monday, 13-Jan-20 13:46:01 EST",4 minute(s) and 19 second(s),https://www.youtube.com/embed/Qq9CQKNplpw?autoplay=0,speak_yes,knowledge,0,1,1,0,0,very_high,very_high
9071030,G5e1bf63f86a21,OK,ce721d79,86.1.121.128,United Kingdom,"Monday, 13-Jan-20 14:42:21 EST","Monday, 13-Jan-20 14:44:50 EST",2 minute(s) and 29 second(s),https://www.youtube.com/embed/QTqcPRKn20o?autoplay=0,speak_yes,planting_trees,1,0,1,0,0,very_high,very_high
9072464,G5e1bf63f86a21,OK,45f3ac2d,92.20.102.87,United Kingdom,"Monday, 13-Jan-20 15:34:20 EST","Monday, 13-Jan-20 15:41:44 EST",7 minute(s) and 24 second(s),https://www.youtube.com/embed/QTqcPRKn20o?autoplay=0,speak_yes,theme_creation_performance,1,0,1,0,0,high,high
9075549,G5e1bf63f86a21,OK,e46e2603,2605:e000:a792:ce00:89d4:2236:a434:97fa,United States,"Monday, 13-Jan-20 20:33:08 EST","Monday, 13-Jan-20 20:37:32 EST",4 minute(s) and 24 second(s),https://www.youtube.com/embed/QTqcPRKn20o?autoplay=0,speak_yes,planting_trees,1,0,1,0,0,very_high,very_high
9074412,G5e1bf63f87247,OK,ce721d79,86.1.121.128,United Kingdom,"Monday, 13-Jan-20 16:57:09 EST","Monday, 13-Jan-20 17:00:28 EST",3 minute(s) and 19 second(s),https://www.youtube.com/embed/TqilUw75Qh8?autoplay=0,speak_yes,spread_word,1,1,1,0,0,very_high,very_high
9075668,G5e1bf63f87247,OK,e46e2603,2605:e000:a792:ce00:89d4:2236:a434:97fa,United States,"Monday, 13-Jan-20 21:31:44 EST","Monday, 13-Jan-20 21:37:03 EST",5 minute(s) and 19 second(s),https://www.youtube.com/embed/TqilUw75Qh8?autoplay=0,speak_yes,spread_word,1,1,1,0,0,high,high
9079362,G5e1bf63f87247,OK,45f3ac2d,79.71.134.103,United Kingdom,"Tuesday, 14-Jan-20 08:15:13 EST","Tuesday, 14-Jan-20 08:22:15 EST",7 minute(s) and 2 second(s),https://www.youtube.com/embed/TqilUw75Qh8?autoplay=0,speak_yes,spread_word,1,1,1,0,0,neutral,neutral
9067502,G5e1bf63f865ee,OK,5481493a,2a02:c7f:710a:7700:84c3:2cd6:a6f:1dc9,United Kingdom,"Monday, 13-Jan-20 11:06:15 EST","Monday, 13-Jan-20 11:10:04 EST",3 minute(s) and 49 second(s),https://www.youtube.com/embed/vdA5bRDT8Ls?autoplay=0,speak_yes,spread_word,1,0,0,1,1,high,neutral
9070364,G5e1bf63f865ee,OK,e46e2603,172.116.205.209,United States,"Monday, 13-Jan-20 13:55:08 EST","Monday, 13-Jan-20 14:00:08 EST",5 minute(s) and 0 second(s),https://www.youtube.com/embed/vdA5bRDT8Ls?autoplay=0,speak_yes,spread_word,1,0,1,1,1,very_high,very_high
9070955,G5e1bf63f865ee,OK,45f3ac2d,92.20.102.87,United Kingdom,"Monday, 13-Jan-20 14:31:51 EST","Monday, 13-Jan-20 14:43:06 EST",11 minute(s) and 15 second(s),https://www.youtube.com/embed/vdA5bRDT8Ls?autoplay=0,speak_yes,live_stream_stat,1,0,1,0,0,high,neutral
9075553,G5e1bf63f86add,OK,e46e2603,2605:e000:a792:ce00:89d4:2236:a434:97fa,United States,"Monday, 13-Jan-20 20:37:43 EST","Monday, 13-Jan-20 20:41:18 EST",3 minute(s) and 35 second(s),https://www.youtube.com/embed/wgOAIL2ilR8?autoplay=0,speak_yes,knowledge,1,1,1,0,0,very_high,very_high
9073726,G5e1bf63f86add,OK,ce721d79,86.1.121.128,United Kingdom,"Monday, 13-Jan-20 16:19:51 EST","Monday, 13-Jan-20 16:23:26 EST",3 minute(s) and 35 second(s),https://www.youtube.com/embed/wgOAIL2ilR8?autoplay=0,speak_yes,knowledge,1,1,0,0,0,very_high,very_high
9072687,G5e1bf63f86add,OK,45f3ac2d,92.20.102.87,United Kingdom,"Monday, 13-Jan-20 15:47:39 EST","Monday, 13-Jan-20 15:53:32 EST",5 minute(s) and 53 second(s),https://www.youtube.com/embed/wgOAIL2ilR8?autoplay=0,speak_yes,knowledge,1,1,1,0,0,very_high,high
9073718,G5e1bf63f86de7,OK,45f3ac2d,92.20.102.87,United Kingdom,"Monday, 13-Jan-20 16:14:42 EST","Monday, 13-Jan-20 16:22:02 EST",7 minute(s) and 20 second(s),https://www.youtube.com/embed/xhMcsf5pIHo?autoplay=0,speak_yes,knowledge,1,1,0,0,0,high,neutral
9073744,G5e1bf63f86de7,OK,ce721d79,86.1.121.128,United Kingdom,"Monday, 13-Jan-20 16:27:17 EST","Monday, 13-Jan-20 16:29:09 EST",1 minute(s) and 52 second(s),https://www.youtube.com/embed/xhMcsf5pIHo?autoplay=0,speak_yes,knowledge,1,1,0,0,0,very_high,very_high
9075601,G5e1bf63f86de7,OK,e46e2603,2605:e000:a792:ce00:89d4:2236:a434:97fa,United States,"Monday, 13-Jan-20 21:06:00 EST","Monday, 13-Jan-20 21:10:14 EST",4 minute(s) and 14 second(s),https://www.youtube.com/embed/xhMcsf5pIHo?autoplay=0,speak_yes,knowledge,1,1,0,0,0,very_high,very_high
9074162,G5e1bf63f87011,OK,ce721d79,86.1.121.128,United Kingdom,"Monday, 13-Jan-20 16:49:59 EST","Monday, 13-Jan-20 16:51:28 EST",1 minute(s) and 29 second(s),https://www.youtube.com/embed/Zlua9R1l7VE?autoplay=0,speak_yes,theme_creation_performance,1,0,0,0,0,very_high,neutral
9075652,G5e1bf63f87011,OK,e46e2603,2605:e000:a792:ce00:89d4:2236:a434:97fa,United States,"Monday, 13-Jan-20 21:23:14 EST","Monday, 13-Jan-20 21:25:05 EST",1 minute(s) and 51 second(s),https://www.youtube.com/embed/Zlua9R1l7VE?autoplay=0,speak_yes,theme_creation_performance,1,0,0,0,0,very_high,very_high
9079132,G5e1bf63f87011,OK,45f3ac2d,79.71.134.103,United Kingdom,"Tuesday, 14-Jan-20 07:48:32 EST","Tuesday, 14-Jan-20 07:53:59 EST",5 minute(s) and 27 second(s),https://www.youtube.com/embed/Zlua9R1l7VE?autoplay=0,speak_yes,theme_creation_performance,1,0,0,0,0,high,high
9070903,G5e1bf63f868a9,OK,ce721d79,86.1.121.128,United Kingdom,"Monday, 13-Jan-20 14:37:14 EST","Monday, 13-Jan-20 14:39:38 EST",2 minute(s) and 24 second(s),https://www.youtube.com/embed/ZNz_tE5VgCY?autoplay=0,speak_yes,comment_video,1,1,1,1,0,very_high,very_high
9071860,G5e1bf63f868a9,OK,45f3ac2d,92.20.102.87,United Kingdom,"Monday, 13-Jan-20 15:03:30 EST","Monday, 13-Jan-20 15:17:40 EST",14 minute(s) and 10 second(s),https://www.youtube.com/embed/ZNz_tE5VgCY?autoplay=0,speak_yes,comment_video,1,1,1,0,0,high,high
9075534,G5e1bf63f868a9,OK,e46e2603,2605:e000:a792:ce00:89d4:2236:a434:97fa,United States,"Monday, 13-Jan-20 20:18:40 EST","Monday, 13-Jan-20 20:26:07 EST",7 minute(s) and 27 second(s),https://www.youtube.com/embed/ZNz_tE5VgCY?autoplay=0,speak_yes,comment_video,1,1,1,1,0,very_high,very_high